VISA,MASTERCARD
217.7800000,351.5500000
214.5400000,347.5900000
212.6100000,347.5600000
213.6900000,349.9300000
215.3800000,353.8800000
215.5000000,353.7600000
212.8700000,348.1500000
208.8500000,342.7700000
209.3800000,346.2300000
201.8300000,327.2900000
201.5700000,323.0200000
201.5300000,324.9900000
201.6700000,326.0900000
205.9700000,334.9000000
205.2000000,334.4700000
201.8600000,329.0600000
202.5000000,329.7000000
200.9700000,329.3300000
202.0100000,327.6600000
195.1700000,316.6100000
198.5000000,324.2600000
193.2600000,316.4300000
194.0200000,315.5100000
198.2900000,321.4100000
202.6100000,334.3500000
201.3800000,333.0600000
209.1500000,340.7500000
208.7200000,338.7800000
209.2500000,339.0000000
206.8100000,337.0100000
206.4800000,333.5600000
206.4500000,334.3900000
210.6900000,342.9000000
209.8900000,340.8900000
210.0000000,341.7400000
207.6800000,341.1100000
207.5200000,337.2700000
209.4000000,338.3900000
204.8800000,333.3200000
204.7800000,332.9000000
208.3100000,340.5800000
212.1400000,350.2100000
219.5700000,367.2700000
213.8100000,354.6000000
212.4100000,354.3200000
212.4200000,354.2500000
216.6600000,362.9400000
215.8300000,362.6900000
214.8600000,359.9600000
211.6200000,349.1200000
213.5600000,355.6400000
220.2700000,371.3400000
220.2500000,376.1400000
223.1700000,381.7000000
226.1700000,384.1600000
224.2600000,382.9100000
224.3500000,382.5000000
222.9400000,382.0200000
225.0000000,382.3800000
223.0100000,378.9800000
220.6600000,367.5500000
207.1000000,358.5500000
207.3400000,358.5000000
208.4600000,358.5800000
208.3000000,355.9100000
208.1900000,359.0000000
208.4900000,358.3600000
213.0600000,365.5200000
213.2200000,365.7000000
214.6500000,363.2200000
211.9000000,358.0000000
212.1800000,356.3300000
217.1400000,363.0500000
216.9100000,363.4500000
219.0200000,368.3700000
218.5900000,369.9800000
219.5000000,371.5000000
221.1000000,378.5900000
221.8000000,379.8300000
222.1600000,379.9700000
221.5600000,380.6600000
221.0300000,379.0000000
222.2800000,379.4900000
226.1400000,385.5000000
226.4100000,385.4900000
226.0000000,386.4600000
226.0000000,382.9000000
223.2800000,376.2600000
227.2400000,380.4200000
228.3000000,383.2800000
230.1400000,386.6000000
